Scientific name;Taxon status;Type category;Barcode;Collector;Collector Number;Date;Determined by;Locality Note;Latitude;Longitude;Precision;Habitat;Country;Country ISO code;Major Admin Name;Minor Admin Name;Locality;Taxon rank;Kingdom;Phylum;Class;Order;Family;Genus;Species;Collection;Institute code;Institute;Collection year
Dactylorhiza cordigera (Fr.) Soó;;;UGDA.0008953;Piotrowska H.;s.n.;1970-06-05;Jagiełło M.;Pojezierze Kaszubskie, Babi Dół, prawa strona Raduni;54.3026;18.299;2,5km;podmokła łąka;Poland;;Pomeranian Voivodeship;gmina Żukowo;Kartuzy County  Babi Dół;species;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Dactylorhiza;cordigera;UGDA_ORCHID;UGDA;Uniwersytet Gdański;1970
Dactylorhiza praetermissa (Druce) Soó;;;UGDA.0008906;Piotrowska H.;s.n.;1962-06-15;;Polska, Pomorze Zachodnie, Wyspa Wolin, Wicko;54.6717;17.6174;2,5km;podmokłe łąki;Poland;;Pomeranian Voivodeship;gmina Wicko;Lębork County;species;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Dactylorhiza;praetermissa;UGDA_ORCHID;UGDA;Uniwersytet Gdański;1962
Dactylorhiza praetermissa (Druce) Soó;;;UGDA.0008908;Szlachetko D.L.;s.n.;1984-06-20;;"N Poland; Orle by Gdańsk";54.6433;18.1515;1km;nakredowa młaka;Poland;;Pomeranian Voivodeship;gmina Wejherowo;Wejherowo County;species;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Dactylorhiza;praetermissa;UGDA_ORCHID;UGDA;Uniwersytet Gdański;1984
Dactylorhiza praetermissa (Druce) Soó;;;UGDA.0008916;Piotrowska H.;s.n.;1962-06-20;Szlachetko D.L.;Polska, Pomorze Zachodnie, Wyspa Wolin, Rekowo;53.9749;14.6625;1km;torfiaste łąki;Poland;;West Pomeranian Voivodeship;gmina Wolin;Kamień County;species;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Dactylorhiza;praetermissa;UGDA_ORCHID;UGDA;Uniwersytet Gdański;1962
Dactylorhiza cruenta (O.F.Müll.) Soó;;;UGDA.0008909;Piotrowska H.;s.n.;1863-05-27;;Pomorze Zachodnie, Wyspa Uznam, Wydrzany;53.8801;14.2197;10km;łąka koło wsi;Poland;;West Pomeranian Voivodeship;Wydrzany;Świnoujście;species;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Dactylorhiza;cruenta;UGDA_ORCHID;UGDA;Uniwersytet Gdański;1863
Orchis latifolia L.;;;UGDA.0008686;Piotrowska H.;s.n.;1963-05-28;;Polska, Pomorze Zachodnie, Wyspa Wolin, Warnowo;53.9272;14.5416;2,5km;łąka koło wsi;Poland;;West Pomeranian Voivodeship;gmina Wolin;Kamień County;species;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Orchis;latifolia;UGDA_ORCHID;UGDA;Uniwersytet Gdański;1963
Lecanora conizaeoides Nyl.ex Cromb.;;;SZUB_L.0001943;Katarzyna Buszman;Katarzyna Buszman;2005;Mateusz Bocian;Kościerzyna, trawnik między blokami na ul. Brzozowej i Dębowej;54.1203;17.9663;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;conizaeoides;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Lecanora conizaeoides Nyl.ex Cromb.;;;SZUB_L.0001944;Katarzyna Buszman;Katarzyna Buszman;2005;Mateusz Bocian;Kościerzyna, trawnik między blokami na ul. Brzozowej i Dębowej;54.1203;17.9663;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;conizaeoides;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Lecanora conizaeoides Nyl.ex Cromb.;;;SZUB_L.0001945;Katarzyna Buszman;Katarzyna Buszman;2005;Mateusz Bocian;Kościerzyna, trawnik między blokami na ul. Brzozowej i Dębowej;54.1203;17.9663;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;conizaeoides;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
Lecanora conizaeoides Nyl.ex Cromb.;;;SZUB_L.0001946;Katarzyna Buszman;Katarzyna Buszman;2005;Mateusz Bocian;Kościerzyna, trawnik między blokami na ul. Brzozowej i Dębowej;54.1203;17.9663;2,5km;na korze Acer pseudoplatanus;Poland;pl;Pomeranian Voivodeship;;Kościerzyna County;species;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora;conizaeoides;SZUB-L;SZUB;Uniwersytet Szczeciński;2005
